City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Balkhash,Kz,74.91,few clouds,46.844,74.9804,Family
291,Likasi,Cd,61.79,clear sky,-10.9814,26.7333,TABERNACLE DE LIKASI
293,Marshall,Us,91.38,scattered clouds,34.3834,-86.3333,Riverview Campground
294,Dalbandin,Pk,85.86,broken clouds,28.8947,64.4101,Sanjrani House
295,Pemba,Mz,75.25,clear sky,-12.974,40.5178,Guesthouse Samotina
296,Matay,Eg,92.62,clear sky,28.419,30.7792,Nag Aespen
297,Paka,My,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
298,Sao joao da barra,Br,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
299,Nabire,Id,74.89,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
300,Ternate,Id,78.85,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
301,Mandera,Ke,83.14,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
302,Quatre cocos,Mu,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
303,Ust-koksa,Ru,45.86,few clouds,50.2696,85.6108,Uymonskaya Dolina
305,Rio grande,Br,62.71,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
306,Zharkent,Kz,76.64,broken clouds,44.1628,80.0,гостиница Satti
307,Jalalpur,Pk,85.87,smoke,32.6374,74.2183,Maher Tent Service
308,Port moresby,Pg,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
309,Severo-kurilsk,Ru,46.42,broken clouds,50.6789,156.125,Kak Doma
310,Iracoubo,Gf,83.21,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
311,Okha,Ru,55.47,scattered clouds,53.5739,142.9478,Sakhalin-Sfera
312,Hasaki,Jp,79.2,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
313,Ler,Sd,71.28,light rain,8.3018,30.1418,Leer Humanitarian Hub
314,Qom,Ir,76.42,clear sky,34.6401,50.8764,Qom Hotel
315,Kvarkeno,Ru,64.27,light rain,52.0833,59.725,"Ooo ""Kvarkeno"""
316,Nikolskoye,Ru,71.49,broken clouds,59.7035,30.7861,Tourist House - Sablino
317,Presidencia roque saenz pena,Ar,65.25,overcast clouds,-26.7852,-60.4388,Hotel Gualok
318,Riyadh,Sa,100.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
319,Invermere,Ca,74.71,overcast clouds,50.5167,-116.0354,Copper Point Resort
320,Oussouye,Sn,89.78,overcast clouds,12.485,-16.5469,Auberge du Routard
321,Lufkin,Us,96.84,broken clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
322,Carnarvon,Au,61.61,clear sky,-24.8667,113.6333,Hospitality Carnarvon
323,Sabang,Id,82.65,light rain,5.8933,95.3214,Hotel Citra
324,Codrington,Au,49.64,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
327,Yarmouth,Us,81.97,clear sky,41.7057,-70.2286,Blue Rock Resort
328,Dundee,Gb,61.59,few clouds,56.5,-2.9667,101 Broughty Ferry Road
329,Udachnyy,Ru,62.46,light rain,66.4167,112.4,Severnoye Siyaniye
330,Bella union,Uy,59.16,overcast clouds,-30.2752,-57.6007,Saville Free Shop
332,Rumilly,Fr,85.62,few clouds,45.8667,5.95,Couett'Hôtel Rumilly
333,Haines junction,Ca,60.75,clear sky,60.7522,-137.5108,Parkside Inn
334,Opuwo,Na,64.98,clear sky,-18.0607,13.84,ABBA Guesthouse
335,Noyabrsk,Ru,50.74,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
336,Ponta do sol,Pt,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
337,Petropavlovsk-kamchatskiy,Ru,54.19,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
338,Huilong,Cn,78.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
339,Zhigansk,Ru,60.46,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
340,Bulgan,Mn,57.69,overcast clouds,48.8125,103.5347,Unitel Булган салбар
341,Aswan,Eg,93.96,scattered clouds,24.0934,32.907,Nuba Nile
342,Cockburn town,Tc,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Barcelos,Pt,80.69,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
344,Port lincoln,Au,53.37,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
345,Kanye,Bw,58.82,broken clouds,-24.9667,25.3327,The Savanna Lodge
346,Pontiac,Us,83.08,few clouds,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
347,Husavik,Is,42.01,light rain,66.0449,-17.3389,Bjarnabúð
